etsy_source_row,etsy_listing_key,etsy_sku_index,etsy_sku,etsy_sku_status,title,price,currency_code,quantity,variation_1_name,variation_1_values,variation_2_name,variation_2_values,match_status,printify_product_id,printify_title,printify_variant_id,printify_sku,printify_variant_title,printify_price,printify_cost,print_provider_id,estimated_gross_margin
2,a9fccfb50b9e5c6f,1,PMK908,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
2,a9fccfb50b9e5c6f,2,PMK90,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
2,a9fccfb50b9e5c6f,3,PMK72,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
2,a9fccfb50b9e5c6f,4,PMK904,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
2,a9fccfb50b9e5c6f,5,PMK728,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
2,a9fccfb50b9e5c6f,6,PMK724,PRESENT,"Personalized Thanksgiving Table Runner, Custom Fall Table Decor, Autumn Pumpkin Runner for Thanksgiving Dinner, Optional Matching Napkins",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
3,20804d138902d450,1,90HWRnr4N,PRESENT,"Personalized Spooky Pumpkin Halloween Table Runner, Custom Fall Dining Decor",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
3,20804d138902d450,2,90HWRunner,PRESENT,"Personalized Spooky Pumpkin Halloween Table Runner, Custom Fall Dining Decor",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
3,20804d138902d450,3,90HWRnr8N,PRESENT,"Personalized Spooky Pumpkin Halloween Table Runner, Custom Fall Dining Decor",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
3,20804d138902d450,4,72HWRnr8N,PRESENT,"Personalized Spooky Pumpkin Halloween Table Runner, Custom Fall Dining Decor",42.99,USD,3,Size/Optional Napkins,"72&quot; Runner Only,72&quot; Rnr + 4 Napkins,72&quot; Rnr + 8 Napkins,90&quot; Runner Only,90&quot; Rnr + 4 Napkins,90&quot; Rnr + 8 Napkins",,,NO_PRINTIFY_MATCH,,,,,,,,,
